subject_name,question,answer
ai,DQN 的核心贡献是什么？,DQN 用深度神经网络近似 Q 值函数，解决高维状态空间下表格型 Q-learning 无法扩展的问题；并通过经验回放打破样本相关性、目标网络稳定训练目标，在 Atari 游戏上首次实现端到端从像素学习。
cv,GAN 的基本原理是什么？,GAN 由生成器和判别器两个网络构成对抗博弈：生成器把随机噪声映射为逼真样本，判别器判断输入是真实还是生成；两者交替训练达到纳什均衡，使生成样本分布逼近真实分布。
cv,VGG 网络的核心设计是什么？,VGG 全程使用 3x3 小卷积核堆叠，通过加深网络（16/19 层）增大感受野，相比大卷积核参数量更少、非线性更强，验证了网络深度对图像识别性能的关键作用。
ai,Adam 优化器的核心思想是什么？,Adam 结合动量（一阶矩估计）与 RMSProp（二阶矩估计），对梯度做偏差修正后自适应调整每个参数的学习率，收敛快、对超参数不敏感，是深度学习默认优化器。
cv,Faster R-CNN 的核心创新是什么？,提出区域建议网络 RPN，与检测网络共享卷积特征，用锚框加回归与分类二分支在特征图上直接生成候选区域，将区域提议与检测统一到一个端到端网络，实现接近实时的检测。
cv,YOLO 的核心思想是什么？,YOLO 把目标检测当作回归问题，单次前向推理直接在图像网格上同时预测边界框和类别概率，无需独立的区域提议步骤，速度极快，是最早的端到端实时检测框架。
cv,ResNet 解决了什么问题？,ResNet 通过残差连接（恒等映射）解决深层网络训练时的退化问题——层数加深但准确率反而下降；残差让网络学习残差映射，梯度可直达浅层，使上百层乃至千层网络可训练。
ai,OpenAI Gym 是什么？,OpenAI Gym 是强化学习的标准化环境基准库，提供统一的 Env 接口、丰富的环境集合和评估协议，让不同强化学习算法可在同一基准上公平比较。
cv,Wasserstein GAN 解决了什么问题？,WGAN 用 Wasserstein 距离替代 JS 散度度量真实与生成分布的距离，缓解 GAN 训练不稳定和模式崩溃；并用权重裁剪强制判别器满足 Lipschitz 约束。
cv,CycleGAN 的核心思想是什么？,CycleGAN 引入循环一致性损失，用两组生成器加判别器实现无配对图像的风格迁移，要求图像经往返映射后能还原，从而无需成对训练样本即可学习跨域映射。
nlp,Transformer 的核心机制是什么？,Transformer 完全基于自注意力机制建模序列，通过多头注意力和位置编码并行捕捉全局依赖，抛弃 RNN 和 CNN 的顺序结构，训练可高度并行，成为几乎所有现代大模型的基石。
cv,Image Transformer 的核心思想是什么？,Image Transformer 把 Transformer 的自注意力应用于图像生成，将像素序列化后自回归建模，并用局部注意力降低计算量，展示了 Transformer 在视觉生成任务上的潜力。
nlp,BERT 的预训练任务有哪些？,BERT 通过两个无监督任务预训练：掩码语言模型 MLM（随机遮盖 token 预测）和下一句预测 NSP（判断两句是否相邻），实现双向上下文建模，微调后刷新多项 NLP 任务纪录。
cv,EfficientNet 的核心思想是什么？,EfficientNet 提出复合缩放方法，用固定比例系数统一缩放网络的深度、宽度和输入分辨率，在同等计算量下比单一维度缩放取得更好精度，兼顾效率与准确率。
nlp,GPT-3 的核心贡献是什么？,GPT-3 把参数规模扩到 1750 亿并证明少样本学习能力：不做梯度更新的条件下，仅靠上下文中的少量示例即可完成翻译、问答、推理等大量任务。
cv,DDPM 的核心思想是什么？,DDPM 是一种扩散概率模型：前向过程逐步向数据加高斯噪声直到纯噪声，反向过程训练神经网络逐步去噪重建数据，生成质量高、训练稳定，是扩散生成模型的奠基工作。
cv,ViT 的核心思想是什么？,ViT 把图像切分成固定大小的 patch，当作 token 序列输入标准 Transformer，证明在足够数据上纯 Transformer 架构无需卷积即可达到甚至超越 CNN 的图像分类性能。
nlp,端到端说话人分离论文的核心思想是什么？,该工作将端到端神经说话人分离作为后处理模块，解决语音识别系统中谁在说话的问题，通过聚类与分类把音频片段归到各说话人。
nlp,重叠关系抽取论文的核心方法是什么？,提出正则化注意力胶囊网络用于重叠关系抽取，用胶囊网络建模实体间多对多关系，正则化注意力缓解重叠三元组之间的干扰。
ai,Should I visit this place 论文研究什么问题？,该论文研究面向旅游推荐的判定问题，结合包含与排除的语义判断一个地点是否值得访问。
